0.0	766118
0.005	376415
0.01	326985
0.015	297536
0.02	270373
0.025	239721
0.03	206211
0.035	194917
0.04	186171
0.045	172808
0.05	164363
0.055	157820
0.06	152270
0.065	148359
0.07	139438
0.075	136041
0.08	133380
0.085	127642
0.09	125544
0.095	121275
0.1	119811
0.105	117501
0.11	113675
0.115	110305
0.12	108525
0.125	107258
0.13	104564
0.135	103488
0.14	102572
0.145	100505
0.15	99937
0.155	98719
0.16	96732
0.165	94932
0.17	89193
0.175	88232
0.18	87169
0.185	85053
0.19	84138
0.195	82607
0.2	82332
0.205	79749
0.21	78702
0.215	78073
0.22	77613
0.225	76166
0.23	75722
0.235	73379
0.24	72393
0.245	71572
0.25	70589
0.255	68406
0.26	67921
0.265	67100
0.27	66559
0.275	65947
0.28	65234
0.285	64128
0.29	62613
0.295	61919
0.3	61574
0.305	60135
0.31	59410
0.315	58504
0.32	57968
0.325	57359
0.33	56527
0.335	53746
0.34	53458
0.345	52152
0.35	51899
0.355	51379
0.36	50710
0.365	50051
0.37	49657
0.375	49145
0.38	48232
0.385	47489
0.39	47054
0.395	46595
0.4	46512
0.405	44166
0.41	43851
0.415	43572
0.42	43253
0.425	42978
0.43	42121
0.435	41853
0.44	41091
0.445	40504
0.45	40278
0.455	39352
0.46	38787
0.465	38312
0.47	37775
0.475	37411
0.48	37266
0.485	37071
0.49	36749
0.495	36698
0.5	36698
0.505	32974
0.51	32535
0.515	32309
0.52	32133
0.525	31761
0.53	31170
0.535	30567
0.54	29888
0.545	29558
0.55	29173
0.555	29024
0.56	28454
0.565	27923
0.57	27644
0.575	26977
0.58	26868
0.585	26664
0.59	26416
0.595	26090
0.6	26090
0.605	24865
0.61	24814
0.615	24631
0.62	24179
0.625	23913
0.63	23395
0.635	23186
0.64	22902
0.645	22684
0.65	22545
0.655	22324
0.66	22257
0.665	22031
0.67	20195
0.675	20152
0.68	20121
0.685	19998
0.69	19780
0.695	19542
0.7	19407
0.705	19157
0.71	18731
0.715	18318
0.72	18286
0.725	18250
0.73	17993
0.735	17888
0.74	17602
0.745	17497
0.75	17497
0.755	16321
0.76	16181
0.765	16072
0.77	15865
0.775	15777
0.78	15552
0.785	15377
0.79	15123
0.795	14897
0.8	14897
0.805	14056
0.81	13884
0.815	13612
0.82	13349
0.825	13134
0.83	13088
0.835	12584
0.84	12584
0.845	12584
0.85	12480
0.855	12212
0.86	11679
0.865	11679
0.87	11581
0.875	11581
0.88	11357
0.885	11272
0.89	11092
0.895	11027
0.9	10998
0.905	10705
0.91	10628
0.915	10628
0.92	10518
0.925	10428
0.93	10345
0.935	10300
0.94	10205
0.945	10102
0.95	10007
0.955	9966
0.96	9943
0.965	9889
0.97	9795
0.975	9795
0.98	9795
0.985	9795
0.99	9795
0.995	9795
1.0	9795
